Topic,Subject,Title,District 01 Estimate,District 02 Estimate,District 03 Estimate,District 04 Estimate,District 05 Estimate,District 06 Estimate,District 07 Estimate,District 08 Estimate,District 09 Estimate,District 10 Estimate,District 11 Estimate,District 12 Estimate,District 13 Estimate,District 14 Estimate,District 15 Estimate,District 16 Estimate,District 17 Estimate,District 18 Estimate,District 19 Estimate,District 20 Estimate,District 21 Estimate,District 22 Estimate,District 23 Estimate,District 24 Estimate,District 25 Estimate,District 26 Estimate,District 27 Estimate,District 28 Estimate,District 29 Estimate,District 30 Estimate,District 31 Estimate,District 32 Estimate,District 33 Estimate,District 34 Estimate,District 35 Estimate,District 36 Estimate,District 37 Estimate,District 38 Estimate,District 39 Estimate,District 40 Estimate,District 41 Estimate,District 42 Estimate,District 43 Estimate,District 44 Estimate,District 45 Estimate,District 46 Estimate,District 47 Estimate,District 48 Estimate,District 49 Estimate,District 50 Estimate,District 51 Estimate,District 52 Estimate
People,Ancestry,Polish,"4,629","13,880","11,400","12,588","9,730","7,941","7,301","4,778","2,953","11,489","15,928","12,804","2,186","5,212","9,034","10,515","7,012","2,918","10,327","5,007","1,514","1,199","8,109","9,899","3,830","11,832","6,739","5,987","5,024","14,586","2,099","16,466","2,218","5,049","2,322","21,995","6,773","1,950","3,610","13,182","11,050","6,645","1,405","2,240","5,553","3,934","13,681","9,894","18,269","16,973","13,287","4,283"
People,Ancestry,Portuguese,"11,406","10,756","13,073","11,476","22,728","7,916","9,664","6,367","15,309","10,559","4,865","5,363","25,510","13,887","5,032","7,627","7,537","7,483","11,066","10,841","5,549","6,290","2,955","6,932","1,511","2,364","1,645","1,847",778,"2,353",542,"1,531","1,393",669,"2,629","4,189",917,"1,121","1,630","3,472","3,342","1,823",328,854,"2,322","2,295","4,379","3,889","3,233","6,524","3,934","2,567"
People,Ancestry,Russian,"2,217","9,437","11,342","6,373","3,504","14,641","6,503","2,476","1,446","7,823","12,369","8,614",854,"2,543","6,772","8,120","6,696","1,701","5,414","3,624","1,384","1,243","2,902","5,523","1,146","9,565","6,013","4,408","5,392","15,963","2,038","23,608","2,234","5,008","1,332","20,470","5,261","2,053","1,239","6,708","3,974","3,146",686,"1,370","1,689","2,227","7,550","4,468","7,640","10,910","8,078","1,691"
People,Ancestry,Scotch-Irish,"6,059","8,876","6,237","5,084","5,066","4,068","4,598","3,125","3,176","5,160","4,731","4,038","2,985","2,255","1,825","1,863",817,"2,500","5,507","5,808","1,184",918,"3,861","6,339","2,412","3,593","2,417","2,778","1,945","3,898",784,"3,875","1,632","1,278","1,431","3,394",824,"1,113","1,026","3,577","4,313","1,631",818,"1,180","2,595","1,222","2,997","4,716","5,925","3,426","4,009","2,185"
People,Ancestry,Scottish,"16,780","19,652","20,729","16,433","18,352","10,559","8,718","6,629","7,115","12,575","9,915","10,472","4,613","7,605","6,755","10,425","4,066","5,061","15,275","14,250","4,598","2,086","9,305","13,437","5,480","9,508","5,314","6,925","2,397","9,831","3,872","7,095","2,769","3,942","3,518","12,033","2,151","3,102","4,728","11,473","9,723","4,126","1,647","4,537","7,380","3,685","12,842","13,837","16,851","12,921","9,125","3,156"
People,Ancestry,Slovak,274,549,651,"1,567",306,289,45,326,170,398,566,"1,278",317,196,301,"1,074",250,398,499,284,61,0,320,678,382,635,886,938,233,681,48,485,125,254,0,"1,883",95,0,275,320,361,431,0,0,393,404,253,729,935,472,477,73
People,Ancestry,Subsaharan African,"1,315","4,346","2,411","4,488","3,461","7,949","13,068","8,553","9,257","5,343","7,177","14,939","2,075","6,669","1,416","3,264","3,262","2,351","4,542","3,320","1,639",753,"3,336","1,833","3,327","3,838","6,491","3,498","3,180","5,793","3,356","5,067","4,215","4,899","3,853","8,145","21,232","2,161","4,744","5,559","5,604","4,459","14,141","8,709","1,948","1,477","5,001","4,962","5,100","4,170","10,837","8,788"
People,Ancestry,Swedish,"8,778","14,973","14,089","8,989","11,362","5,920","8,807","4,345","4,375","7,840","7,627","6,902","2,130","3,612","4,743","8,238","3,760","3,256","9,637","7,561","3,048","1,291","4,328","10,873","2,906","6,476","4,491","5,538","2,259","7,945","2,244","5,239","2,157","1,854","1,940","6,865","1,811","1,896","3,444","9,675","6,251","2,610",852,"1,777","4,124","2,135","10,517","9,721","11,601","9,816","6,608","1,774"
People,Ancestry,Swiss,"1,953","5,288","3,946","3,562","3,142","1,216","2,308","1,511","1,685","2,116","3,076","2,510",913,"1,539","1,566","2,387","1,356","1,861","3,481","1,704",743,350,"1,060","2,781","1,483","1,381","1,387","1,242",660,"2,181",261,"1,179",65,355,90,"1,423",493,376,215,"1,518","1,818",785,196,443,320,861,"1,525","1,479","3,276","1,741","2,047",279
People,Ancestry,Ukrainian,670,"4,008","6,998","1,746","2,045","19,417","3,329","2,789",581,"5,986","6,175","4,310",448,"3,133","2,827","5,205","2,063",354,"2,913",952,446,20,"1,941","2,143",766,"2,078","1,323","2,161","2,950","7,849",365,"9,077",839,"1,191",430,"8,656","1,393",844,978,"3,593",960,751,261,242,953,513,"4,428","1,383","3,676","5,858","3,401",733
People,Ancestry,Welsh,"4,216","7,042","5,345","4,066","5,332","2,829","1,789","1,503","2,539","3,129","3,923","2,761","1,697","2,892","1,820","2,838","1,082","1,044","3,804","3,573",693,992,"3,515","3,783","2,714","2,104","1,810","3,893",796,"3,104",512,"3,199",905,618,363,"2,451",757,929,"1,284","4,388","1,867","1,672",775,241,"1,446",846,"2,191","3,910","3,398","3,988","3,102","1,060"
People,Ancestry,West Indian (excluding Hispanic origin groups),757,"2,233","1,122","1,816","2,141","2,966","1,125","1,635","1,131",983,"1,747","2,845",247,"1,592","1,035","1,142","1,700","1,275",886,"1,192",421,457,"1,696",382,439,"1,137","3,199","1,344","1,569","3,452",931,"2,410","4,353","2,664","1,024","2,204","13,475","1,638",913,"1,333","2,609","2,058","7,384","3,877","1,091",598,438,"2,261","1,038","2,363","2,780","2,020"
People,Veteran Status,Civilian population 18 years and over,"580,776","599,571","626,188","610,745","613,060","577,021","591,712","590,752","571,500","579,668","611,547","608,161","559,323","566,958","585,636","585,288","608,969","558,038","586,772","574,904","534,698","541,897","562,696","608,014","583,682","571,019","551,861","603,798","564,560","638,537","564,004","620,200","555,935","581,993","570,378","613,948","584,615","569,868","576,977","595,712","631,511","566,942","555,681","573,717","581,277","588,136","604,130","560,050","569,394","630,142","579,880","544,948"
People,Veteran Status,Civilian veterans,"39,835","28,413","43,494","33,769","36,989","33,049","29,093","29,888","23,794","24,331","15,346","14,833","18,290","14,684","14,828","14,358","13,531","15,574","25,958","39,159","18,131","16,418","38,335","28,817","30,555","27,070","25,204","16,406","10,427","13,370","16,651","16,210","19,278","9,705","16,736","19,504","9,710","17,169","21,830","23,624","39,431","14,060","14,025","17,763","18,177","13,277","23,694","46,893","36,308","32,112","43,857","38,919"
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"739,954","733,754","779,881","749,045","771,838","744,483","756,762","745,852","763,507","739,860","698,726","729,037","768,433","721,942","717,179","745,440","739,056","730,076","717,454","784,189","742,492","750,162","745,399","747,756","764,680","733,402","727,303","742,126","715,749","741,045","712,661","756,702","758,980","703,869","740,776","738,411","732,173","720,589","763,567","753,322","803,987","706,931","713,736","731,885","733,927","740,252","752,036","727,914","719,949","756,520","725,338","715,417"
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,"122,982","102,620","97,380","103,836","108,941","102,124","95,730","95,130","102,118","77,666","86,403","93,881","97,208","71,712","74,498","69,812","58,664","64,113","80,216","105,619","105,809","89,917","114,026","89,456","109,975","84,644","89,027","73,214","85,496","87,323","81,321","72,189","84,386","91,565","73,001","65,660","95,599","73,986","85,108","72,515","105,102","83,174","98,349","83,150","77,205","70,183","69,247","82,911","68,071","72,160","85,750","89,567"
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"170,461","142,888","160,141","148,316","169,104","170,123","169,866","158,105","198,504","164,966","89,604","124,343","224,434","158,525","135,082","163,351","134,267","183,569","133,022","213,010","214,329","232,621","191,648","149,935","195,702","163,958","184,414","142,599","154,635","107,161","152,404","140,307","206,679","132,159","179,103","127,533","150,918","153,374","188,988","158,979","177,980","143,658","160,296","163,577","155,333","157,050","149,084","172,928","153,296","132,791","149,955","175,711"
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,"10,652","4,859","6,314","9,026","8,725","6,521","10,049","7,222","9,427","5,413","2,129","4,825","11,687","4,312","5,710","7,867","5,095","6,227","3,616","12,132","15,092","9,054","9,767","4,830","11,374","5,164","10,933","4,956","8,551","3,353","5,450","3,755","8,345","4,931","6,513","4,523","7,936","2,943","8,666","3,666","9,272","7,121","8,833","7,035","5,337","4,321","4,463","8,191","4,924","4,796","4,898","7,340"
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"428,985","418,619","442,487","451,067","438,226","458,466","471,636","465,830","460,407","441,168","482,238","485,418","457,638","447,021","450,671","455,354","501,642","454,809","437,143","455,408","441,913","442,800","438,209","452,075","435,874","437,808","441,337","452,564","473,490","508,666","442,378","475,404","467,969","472,855","479,667","470,705","492,987","444,009","490,870","453,659","470,712","469,931","456,771","464,601","444,909","491,947","479,514","424,206","427,554","510,715","463,202","436,861"
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,"61,387","46,961","42,435","47,907","47,082","53,014","41,366","47,172","50,901","33,816","41,415","52,733","49,886","30,013","29,216","25,970","24,032","29,455","34,487","52,733","55,866","49,923","57,797","39,541","43,381","37,541","42,191","29,324","42,810","36,874","35,030","29,286","45,425","45,795","38,541","25,306","53,660","34,070","45,431","28,324","42,511","44,375","52,102","40,462","31,061","34,494","27,748","36,300","27,635","37,021","42,813","45,953"
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"140,508","172,247","177,253","149,662","164,508","115,894","115,260","121,917","104,596","133,726","126,884","119,276","86,361","116,396","131,426","126,735","103,147","91,698","147,289","115,771","86,250","74,741","115,542","145,746","133,104","131,636","101,552","146,963","87,624","125,218","117,879","140,991","84,332","98,855","82,006","140,173","88,268","123,206","83,709","140,684","155,295","93,342","96,669","103,707","133,685","91,255","123,438","130,780","139,099","113,014","112,181","102,845"
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,"50,943","50,800","48,631","46,903","53,134","42,589","44,315","40,736","41,790","38,437","42,859","36,323","35,635","37,387","39,572","35,975","29,537","28,431","42,113","40,754","34,851","30,940","46,462","45,085","55,220","41,939","35,903","38,934","34,135","47,096","40,841","39,148","30,616","40,839","27,947","35,831","34,003","36,973","31,011","40,525","53,319","31,678","37,414","35,653","40,807","31,368","37,036","38,420","35,512","30,343","38,039","36,274"
People,Residence 1 Year Ago,Population 1 year and over,"746,215","737,859","780,923","752,055","774,754","738,632","755,449","742,051","762,140","739,712","695,375","726,673","775,123","717,784","714,006","740,040","736,301","735,225","719,621","784,829","741,485","764,004","760,832","755,396","769,562","732,347","728,667","740,359","712,457","739,435","709,141","752,052","754,263","708,967","739,977","735,513","728,489","716,557","758,233","747,622","803,861","705,160","709,424","729,718","731,068","739,245","745,109","730,507","743,625","773,180","738,656","732,489"
People,Residence 1 Year Ago,Same house,"650,110","652,345","689,194","646,208","702,869","659,037","680,600","672,270","684,608","666,361","577,189","625,260","697,494","645,393","638,613","650,435","616,464","656,367","631,392","699,133","676,822","708,168","674,696","642,285","702,147","665,920","665,744","683,528","666,597","644,286","656,497","675,378","698,453","633,265","673,480","629,266","656,757","669,207","694,581","685,013","722,006","645,070","664,214","675,756","666,431","672,731","640,803","664,337","649,807","650,485","634,701","665,563"
People,Residence 1 Year Ago,Different house (in the U.S. or abroad),"96,105","85,514","91,729","105,847","71,885","79,595","74,849","69,781","77,532","73,351","118,186","101,413","77,629","72,391","75,393","89,605","119,837","78,858","88,229","85,696","64,663","55,836","86,136","113,111","67,415","66,427","62,923","56,831","45,860","95,149","52,644","76,674","55,810","75,702","66,497","106,247","71,732","47,350","63,652","62,609","81,855","60,090","45,210","53,962","64,637","66,514","104,306","66,170","93,818","122,695","103,955","66,926"
People,Residence 1 Year Ago,Different house in the U.S.,"93,088","81,292","85,893","100,188","69,808","65,721","70,165","66,273","71,617","67,906","110,825","90,982","70,996","58,737","67,000","76,059","103,211","70,309","82,746","83,615","62,170","52,491","83,934","108,636","62,328","63,168","59,659","49,946","39,525","83,871","48,510","68,693","53,560","68,351","60,528","98,594","64,732","44,242","60,377","56,985","78,288","55,592","39,296","51,831","60,783","59,524","96,138","63,389","86,973","114,780","97,960","59,814"
People,Residence 1 Year Ago,Same county,"48,975","43,471","41,493","53,342","38,959","43,825","37,595","33,818","37,548","34,272","63,431","51,315","43,533","36,551","32,722","44,972","66,304","50,841","46,905","48,300","43,705","35,442","51,889","60,459","40,531","35,316","51,069","35,266","33,030","61,191","36,919","55,269","36,400","50,284","31,089","63,589","46,195","31,642","33,863","34,778","41,964","39,862","32,565","41,223","44,572","41,388","63,841","45,389","46,824","66,111","66,785","44,244"
People,Residence 1 Year Ago,Different county,"44,113","37,821","44,400","46,846","30,849","21,896","32,570","32,455","34,069","33,634","47,394","39,667","27,463","22,186","34,278","31,087","36,907","19,468","35,841","35,315","18,465","17,049","32,045","48,177","21,797","27,852","8,590","14,680","6,495","22,680","11,591","13,424","17,160","18,067","29,439","35,005","18,537","12,600","26,514","22,207","36,324","15,730","6,731","10,608","16,211","18,136","32,297","18,000","40,149","48,669","31,175","15,570"
People,Residence 1 Year Ago,Same state,"35,529","29,358","33,223","38,986","26,182","18,168","24,324","26,812","30,415","24,887","34,469","30,857","24,409","15,414","25,195","21,196","22,233","15,720","25,414","26,938","15,515","15,049","19,465","35,222","16,960","21,258","4,163","9,831","2,824","7,553","7,364","7,074","14,618","8,391","25,411","13,418","8,693","10,515","22,830","13,764","29,052","11,578","4,274","7,049","11,951","13,827","22,154","10,092","14,532","20,492","14,546","8,964"
People,Residence 1 Year Ago,Different state,"8,584","8,463","11,177","7,860","4,667","3,728","8,246","5,643","3,654","8,747","12,925","8,810","3,054","6,772","9,083","9,891","14,674","3,748","10,427","8,377","2,950","2,000","12,580","12,955","4,837","6,594","4,427","4,849","3,671","15,127","4,227","6,350","2,542","9,676","4,028","21,587","9,844","2,085","3,684","8,443","7,272","4,152","2,457","3,559","4,260","4,309","10,143","7,908","25,617","28,177","16,629","6,606"
People,Residence 1 Year Ago,Abroad,"3,017","4,222","5,836","5,659","2,077","13,874","4,684","3,508","5,915","5,445","7,361","10,431","6,633","13,654","8,393","13,546","16,626","8,549","5,483","2,081","2,493","3,345","2,202","4,475","5,087","3,259","3,264","6,885","6,335","11,278","4,134","7,981","2,250","7,351","5,969","7,653","7,000","3,108","3,275","5,624","3,567","4,498","5,914","2,131","3,854","6,990","8,168","2,781","6,845","7,915","5,995","7,112"
Workers,Employment Status,Population 16 years and over,"606,974","619,564","646,932","632,737","636,013","595,984","613,946","614,191","597,827","602,381","623,012","624,015","588,819","586,905","604,353","606,927","626,251","582,940","611,950","607,669","561,263","573,221","596,670","629,880","608,713","596,650","576,144","623,251","582,650","649,666","584,395","635,280","583,996","599,192","591,390","631,860","604,539","589,031","603,385","617,152","655,671","589,110","573,136","593,714","601,127","608,559","623,727","588,314","617,871","664,449","614,629","586,315"
Workers,Employment Status,In labor force,"347,212","374,261","386,476","395,446","378,356","378,300","400,823","398,385","382,381","392,796","436,144","422,182","352,720","385,228","400,776","398,676","446,200","373,054","388,556","371,856","344,764","338,657","358,593","382,869","343,793","386,722","355,026","395,114","395,919","449,383","371,455","421,522","374,538","391,194","395,104","422,465","397,448","375,011","390,076","405,606","395,958","385,234","373,343","380,833","383,572","409,827","416,580","367,999","413,215","462,581","416,690","387,643"
Workers,Employment Status,Civilian labor force,"343,213","372,946","384,789","393,102","377,928","377,864","399,874","395,306","382,033","391,134","435,603","420,544","352,228","384,906","400,540","398,450","445,436","371,730","382,573","364,995","344,082","338,433","344,961","379,662","343,349","382,414","354,592","394,898","395,879","449,383","370,935","421,522","373,651","390,522","395,021","421,756","397,395","374,809","388,963","404,596","393,961","384,942","372,669","380,291","383,042","409,321","415,808","360,520","384,653","444,340","398,025","367,833"
Workers,Employment Status,Employed,"321,651","353,208","366,981","376,253","357,918","353,834","372,888","372,208","356,303","372,093","413,824","395,432","322,142","366,956","385,157","381,245","426,996","355,280","366,194","346,759","312,992","303,421","317,666","358,869","323,693","362,374","334,385","378,334","368,630","421,155","351,885","397,602","352,273","365,842","373,306","398,511","366,610","358,333","368,594","388,396","373,985","362,142","345,638","359,166","366,161","391,773","398,688","344,367","368,478","425,437","378,491","346,047"
Workers,Employment Status,Unemployed,"21,562","19,738","17,808","16,849","20,010","24,030","26,986","23,098","25,730","19,041","21,779","25,112","30,086","17,950","15,383","17,205","18,440","16,450","16,379","18,236","31,090","35,012","27,295","20,793","19,656","20,040","20,207","16,564","27,249","28,228","19,050","23,920","21,378","24,680","21,715","23,245","30,785","16,476","20,369","16,200","19,976","22,800","27,031","21,125","16,881","17,548","17,120","16,153","16,175","18,903","19,534","21,786"
Workers,Employment Status,Armed Forces,"3,999","1,315","1,687","2,344",428,436,949,"3,079",348,"1,662",541,"1,638",492,322,236,226,764,"1,324","5,983","6,861",682,224,"13,632","3,207",444,"4,308",434,216,40,0,520,0,887,672,83,709,53,202,"1,113","1,010","1,997",292,674,542,530,506,772,"7,479","28,562","18,241","18,665","19,810"
Workers,Employment Status,Not in labor force,"259,762","245,303","260,456","237,291","257,657","217,684","213,123","215,806","215,446","209,585","186,868","201,833","236,099","201,677","203,577","208,251","180,051","209,886","223,394","235,813","216,499","234,564","238,077","247,011","264,920","209,928","221,118","228,137","186,731","200,283","212,940","213,758","209,458","207,998","196,286","209,395","207,091","214,020","213,309","211,546","259,713","203,876","199,793","212,881","217,555","198,732","207,147","220,315","204,656","201,868","197,939","198,672"
Workers,Employment Status,Civilian labor force,"343,213","372,946","384,789","393,102","377,928","377,864","399,874","395,306","382,033","391,134","435,603","420,544","352,228","384,906","400,540","398,450","445,436","371,730","382,573","364,995","344,082","338,433","344,961","379,662","343,349","382,414","354,592","394,898","395,879","449,383","370,935","421,522","373,651","390,522","395,021","421,756","397,395","374,809","388,963","404,596","393,961","384,942","372,669","380,291","383,042","409,321","415,808","360,520","384,653","444,340","398,025","367,833"
Workers,Employment Status,Unemployment Rate,6.3,5.3,4.6,4.3,5.3,6.4,6.7,5.8,6.7,4.9,5,6,8.5,4.7,3.8,4.3,4.1,4.4,4.3,5,9,10.3,7.9,5.5,5.7,5.2,5.7,4.2,6.9,6.3,5.1,5.7,5.7,6.3,5.5,5.5,7.7,4.4,5.2,4,5.1,5.9,7.3,5.6,4.4,4.3,4.1,4.5,4.2,4.3,4.9,5.9
Workers,Commuting to Work,Workers 16 years and over,"315,713","345,298","357,264","367,189","347,080","346,113","364,558","361,550","345,467","363,810","406,037","384,446","312,457","353,431","376,452","373,120","419,138","343,098","357,713","342,667","305,787","291,975","322,584","347,542","316,105","356,812","324,551","369,583","360,101","409,890","340,476","385,876","341,193","358,026","365,367","390,249","356,670","350,221","358,962","380,841","369,522","352,805","333,853","350,516","359,054","383,616","392,236","343,375","388,706","436,302","389,986","358,145"
Workers,Commuting to Work,"Car, truck, or van -- drove alone","232,421","217,851","245,183","252,485","254,459","234,279","233,696","240,110","256,763","218,320","113,450","169,589","236,150","228,988","216,567","240,717","271,116","242,489","241,612","267,957","224,412","223,261","237,718","228,666","227,897","252,018","223,853","245,673","246,779","243,218","241,906","254,312","261,959","200,638","265,383","226,852","219,308","260,845","272,194","265,290","257,561","247,535","237,609","257,847","263,547","276,751","251,700","247,184","249,533","272,317","268,921","257,566"
Workers,Commuting to Work,"Car, truck, or van -- carpooled","38,369","35,368","25,511","35,912","33,196","34,329","40,066","46,542","44,671","29,298","23,798","26,277","36,853","41,223","42,859","28,654","44,759","39,580","34,264","35,922","44,523","46,686","40,597","39,161","46,699","39,153","38,878","36,393","44,369","26,073","46,512","23,687","37,772","37,974","49,069","18,388","33,736","36,205","41,434","32,071","35,923","39,337","36,637","40,702","40,943","48,074","25,138","26,818","29,880","25,930","31,562","42,310"
Workers,Commuting to Work,Public transportation (excluding taxicab),"1,946","6,172","2,040","3,545","1,832","3,522","4,669","22,407","3,143","18,466","89,397","54,734","1,716","16,804","31,002","9,587","15,401","5,932","8,549","1,446","3,797","1,102","1,164","6,699","1,698","1,316","5,128","9,757","15,035","17,354","6,643","10,256","2,845","45,609","3,905","8,813","29,685","4,208","2,913","1,799","1,743","14,194","15,081","12,037","3,762","6,861","3,498","1,822","4,468","10,117","6,278","13,598"
Workers,Commuting to Work,Walked,"6,954","13,589","6,209","11,939","7,559","4,153","8,861","6,283","4,122","7,068","46,055","21,122","6,076","4,655","9,232","8,616","7,590","7,278","10,210","5,867","4,153","3,626","7,849","13,061","6,033","5,832","3,318","8,335","5,633","15,805","5,076","8,493","3,349","16,071","3,679","16,608","13,124","4,919","5,814","5,074","4,549","8,579","6,572","4,321","3,587","9,859","11,034","5,076","19,283","22,770","11,877","7,355"
Workers,Commuting to Work,Other means,"5,427","7,626","9,038","11,430","7,642","8,335","11,743","6,934","3,444","8,182","27,903","19,859","9,970","7,162","11,017","16,765","8,764","12,397","11,223","3,473","5,981","4,008","2,936","14,129","5,653","5,389","7,131","7,678","8,201","15,297","5,598","9,851","6,330","9,798","3,925","10,292","15,321","5,602","6,498","6,480","6,131","9,661","9,057","5,775","5,691","12,142","9,682","6,880","8,050","9,707","10,373","6,101"
Workers,Commuting to Work,Worked from home,"30,596","64,692","69,283","51,878","42,392","61,495","65,523","39,274","33,324","82,476","105,434","92,865","21,692","54,599","65,775","68,781","71,508","35,422","51,855","28,002","22,921","13,292","32,320","45,826","28,125","53,104","46,243","61,747","40,084","92,143","34,741","79,277","28,938","47,936","39,406","109,296","45,496","38,442","30,109","70,127","63,615","33,499","28,897","29,834","41,524","29,929","91,184","55,595","77,492","95,461","60,975","31,215"
Workers,Commuting to Work,Mean travel time to work (minutes),21.7,24.2,27.6,25.6,29.2,27.5,27.7,34.7,34.1,36.9,30.7,30.2,31.7,32.6,27.5,26.2,25.2,30.1,28.1,24.3,23,24.9,34.1,22.7,27,27,38.6,29.8,31.9,29.6,31.9,31.6,31.7,31.2,31.5,27.5,32.4,32.5,33.4,27.5,37,30.8,31.1,29.7,29.4,26.2,25.8,33.4,26.7,23.9,23.1,27.6
Workers,Occupation,Civilian employed population 16 years and over,"321,651","353,208","366,981","376,253","357,918","353,834","372,888","372,208","356,303","372,093","413,824","395,432","322,142","366,956","385,157","381,245","426,996","355,280","366,194","346,759","312,992","303,421","317,666","358,869","323,693","362,374","334,385","378,334","368,630","421,155","351,885","397,602","352,273","365,842","373,306","398,511","366,610","358,333","368,594","388,396","373,985","362,142","345,638","359,166","366,161","391,773","398,688","344,367","368,478","425,437","378,491","346,047"
Workers,Occupation,"Management, business, science, and arts occupations","113,366","164,203","183,568","161,643","148,176","138,595","167,055","133,872","117,842","215,472","281,901","220,381","80,107","186,129","204,530","245,216","283,175","118,207","179,222","142,738","83,370","62,770","107,279","152,269","83,136","157,215","140,964","190,546","119,228","242,322","115,153","220,073","100,407","134,712","118,483","261,650","134,975","134,496","109,290","209,481","149,674","125,122","106,507","107,894","155,716","114,595","230,968","153,303","181,077","256,971","193,765","120,233"
Workers,Occupation,Service occupations,"65,946","68,637","59,015","73,273","61,258","71,173","69,576","77,935","63,932","48,493","47,975","58,350","58,621","51,635","69,705","47,785","45,728","68,301","65,586","65,696","65,916","59,411","63,246","74,556","88,662","57,680","60,653","60,505","82,141","60,981","70,178","60,621","66,561","81,295","65,334","40,794","85,207","61,100","70,902","48,436","62,984","69,300","84,289","73,370","68,244","88,965","52,857","58,633","57,318","59,721","63,924","79,642"
Workers,Occupation,Sales and office occupations,"67,118","62,028","73,527","66,660","67,210","73,176","70,932","72,175","66,192","66,294","55,221","60,742","57,695","60,587","59,578","51,196","53,543","59,056","67,323","65,024","60,168","52,314","57,128","58,630","57,718","67,195","65,588","75,114","72,045","74,459","75,242","66,891","66,901","65,721","74,161","70,408","64,603","81,040","69,538","82,075","81,834","73,890","68,127","76,444","74,011","78,151","76,607","68,730","76,381","67,399","69,057","69,269"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","35,261","29,898","23,778","34,336","34,447","29,972","28,228","42,272","37,582","19,274","9,481","20,446","62,271","28,536","19,498","16,805","15,010","59,796","27,160","32,114","45,501","70,768","35,594","41,780","47,766","37,420","32,269","19,563","44,074","17,658","30,225","20,677","40,384","34,805","35,211","9,216","31,000","29,293","43,388","20,435","30,459","31,931","28,349","32,227","23,901","38,215","13,391","32,053","23,012","19,174","20,655","31,004"
Workers,Occupation,"Production, transportation, and material moving occupations","39,960","28,442","27,093","40,341","46,827","40,918","37,097","45,954","70,755","22,560","19,246","35,513","63,448","40,069","31,846","20,243","29,540","49,920","26,903","41,187","58,037","58,158","54,419","31,634","46,411","42,864","34,911","32,606","51,142","25,735","61,087","29,340","78,020","49,309","80,117","16,443","50,825","52,404","75,476","27,969","49,034","61,899","58,366","69,231","44,289","71,847","24,865","31,648","30,690","22,172","31,090","45,899"
Workers,Industry,Civilian employed population 16 years and over,"321,651","353,208","366,981","376,253","357,918","353,834","372,888","372,208","356,303","372,093","413,824","395,432","322,142","366,956","385,157","381,245","426,996","355,280","366,194","346,759","312,992","303,421","317,666","358,869","323,693","362,374","334,385","378,334","368,630","421,155","351,885","397,602","352,273","365,842","373,306","398,511","366,610","358,333","368,594","388,396","373,985","362,142","345,638","359,166","366,161","391,773","398,688","344,367","368,478","425,437","378,491","346,047"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","15,742","8,665","5,551","9,751","9,441","3,526","4,727","2,661","13,265","2,577","1,426","1,835","33,946",723,"2,008","1,628",833,"33,557","6,940","17,346","26,609","56,326","4,181","24,264","17,180","16,956","1,141","1,913","1,972",877,"2,390","1,775","2,023","1,823","2,411",883,"1,377","1,704","2,453","1,707","3,199","1,728","1,465","1,081","2,587","5,929","1,179","5,238","5,185","2,731","1,207","1,959"
Workers,Industry,Construction,"21,249","25,863","24,998","28,458","29,231","27,301","25,326","37,435","26,982","23,490","12,277","22,576","26,404","24,798","18,805","15,269","13,229","28,521","21,368","24,076","20,927","20,029","26,134","23,365","27,781","24,266","21,448","16,801","39,332","16,366","25,013","21,070","31,735","29,065","26,159","12,554","24,709","21,278","38,304","25,178","28,506","26,464","23,269","25,644","21,932","30,706","17,762","29,445","22,471","19,777","18,402","25,112"
Workers,Industry,Manufacturing,"21,688","24,619","22,607","31,066","27,097","15,393","18,050","28,741","40,868","25,194","23,147","27,655","35,265","50,890","31,625","51,584","84,179","34,091","41,729","19,736","24,666","20,747","15,794","23,965","16,788","37,349","36,564","23,695","28,639","17,838","38,413","22,069","26,884","29,376","33,471","30,931","21,877","39,801","34,071","40,329","29,179","42,440","32,215","39,226","43,574","49,170","45,333","32,287","40,625","43,854","39,837","28,297"
Workers,Industry,Wholesale trade,"8,168","6,346","6,272","6,699","6,828","7,514","6,438","5,962","7,686","5,843","4,190","6,171","8,994","8,167","5,529","3,841","3,406","9,777","4,833","5,555","7,546","6,914","5,541","4,517","6,706","7,300","6,457","10,725","5,841","5,807","11,391","7,653","8,637","11,427","11,397","8,956","11,965","13,593","7,951","11,437","10,187","12,128","7,985","11,039","10,774","11,395","10,008","7,287","7,887","7,036","4,769","6,373"
